Candidaturas,Votos,%**,Escaños,%
Partido Popular (PP),7.372.172,"31,27",126,36
Partido Socialista Obrero Español (PSOE),4.663.505,"19,53",75,"21,42"
Unidos Podemos (PODEMOS-IU-ECUO-CLIAS),3.227.123,"13,51",45,"12,8"
Ciudadanos - Partido de la Ciudadania (C´s),3.141.570,"13,15",32,"9,14"
En Comú Podem - Guanyem El Camvi (ECP),853.102,"3,57",12,"3,42"
Compromís-Podemos-EUPV: A la Valenciana (PODEMOS - COMPROMÍS - EUPV),659.771,"2,76",9,"2,57"
Esquerra Republicana / Catalunya Sí (ERC - CATSÍ),632.234,"2,64",9,"2,57"
Partìt dels Socialistes de Catalunya (PSC - PSOE),559.870,"2,34",7,2
Convergència Democrática de Catalunya (CDC),483.488,"2,02",8,"2,28"
En Marea (PODEMOS - EN MAREA - ANOVA - EU),347.542,"1,4",5,"1,42"
Euzko Alberdi Jeltzalea - Partido Nacionalista -Vasco (EAJ - PNV),287.014,"1,2",5,"1,42"
Partido Popular en coalición con el partido Aragonés (PP - PAR),252.456,1,6,"1,71"
Partido Socialista Obrero Español  - Nueva Canarias (PSOE - NCa),220.471,"0,92",3,"0,85"
Partido Popular - Foro (PP - FORO),209.632,"0,87",3,"0,85"
Euskal Herria - Bildu (EH - BILDU),184.713,"0,77",2,"0,57"
Unión del Pueblo Navarro en coalición con el Partido Popular (UPN - PP),106.976,"0,44",2,"0,57"
Coalición Canaria (CCa),78.253,"0,32",1,"0,28"
